Section,Subsection,LINK,SNO,FirstLine
পূজা,,RabindranathTagore_Songs_Puja#১--কান্নাহাসির-দোল-দোলানো-পৌষ-ফাগুনের-পালা,১,কান্নাহাসির-দোল-দোলানো পৌষ-ফাগুনের পালা
পূজা,,RabindranathTagore_Songs_Puja#২--সুরের-গুরু-দাও-গো-সুরের-দীক্ষা,২,সুরের গুরু দাও গো সুরের দীক্ষা
পূজা,,RabindranathTagore_Songs_Puja#৩--তোমার-সুরের-ধারা-ঝরে-যেথায়-তারি-পারে,৩,তোমার সুরের ধারা ঝরে যেথায় তারি পারে
পূজা,,RabindranathTagore_Songs_Puja#৪--তুমি-কেমন-করে-গান-করো-হে-গুণী,৪,তুমি কেমন করে গান করো হে গুণী
পূজা,,RabindranathTagore_Songs_Puja#৫--আমি-তোমায়-যত-শুনিয়েছিলেম-গান,৫,আমি তোমায় যত শুনিয়েছিলেম গান
পূজা,,RabindranathTagore_Songs_Puja#৬--তুমি-যে-সুরের-আগুন-লাগিয়ে-দিলে-মোর-প্রাণে,৬,তুমি যে সুরের আগুন লাগিয়ে দিলে মোর প্রাণে
পূজা,,RabindranathTagore_Songs_Puja#৭--তোমার-বীণা-আমার-মনোমাঝে,৭,তোমার বীণা আমার মনোমাঝে
পূজা,,RabindranathTagore_Songs_Puja#৮--তোমার-নয়ন-আমায়-বারে-বারে-বলেছে-গান-গাহিবারে,৮,তোমার নয়ন আমায় বারে বারে বলেছে গান গাহিবারে॥
পূজা,,RabindranathTagore_Songs_Puja#৯--অরূপ-তোমার-বাণী,৯,অরূপ তোমার বাণী
পূজা,,RabindranathTagore_Songs_Puja#১০--গানে-গানে-তব-বন্ধন-যাক-টুটে,১০,গানে গানে তব বন্ধন যাক টুটে
পূজা,,RabindranathTagore_Songs_Puja#১১--আমার-সুরে-লাগে-তোমার-হাসি,১১,আমার সুরে লাগে তোমার হাসি
পূজা,,RabindranathTagore_Songs_Puja#১২--আমার-বেলা-যে-যায়-সাঁঝ-বেলাতে,১২,আমার বেলা যে যায় সাঁঝ-বেলাতে
পূজা,,RabindranathTagore_Songs_Puja#১৩--জীবনমরণের-সীমানা-ছাড়ায়ে,১৩,জীবনমরণের সীমানা ছাড়ায়ে
পূজা,,RabindranathTagore_Songs_Puja#১৪--যারা-কথা-দিয়ে-তোমার-কথা-বলে,১৪,যারা কথা দিয়ে তোমার কথা বলে
পূজা,,RabindranathTagore_Songs_Puja#১৫--তোমারি-ঝরনাতলার-নির্জনে,১৫,তোমারি ঝরনাতলার নির্জনে
পূজা,,RabindranathTagore_Songs_Puja#১৬--কূল-থেকে-মোর-গানের-তরী-দিলেম-খুলে,১৬,কূল থেকে মোর গানের তরী দিলেম খুলে
পূজা,,RabindranathTagore_Songs_Puja#১৭--তোমার-কাছে-এ-বর-মাগি-মরণ-হতে-যেন-জাগি,১৭,তোমার কাছে এ বর মাগি মরণ হতে যেন জাগি
পূজা,,RabindranathTagore_Songs_Puja#১৮--কেন-তোমরা-আমায়-ডাকো-আমার-মন-না-মানে,১৮,কেন তোমরা আমায় ডাকো আমার মন না মানে
পূজা,,RabindranathTagore_Songs_Puja#১৯--দাঁড়িয়ে-আছ-তুমি-আমার-গানের-ও-পারে,১৯,দাঁড়িয়ে আছ তুমি আমার গানের ও পারে
পূজা,,RabindranathTagore_Songs_Puja#২০--রাজপুরীতে-বাজায়-বাঁশি-বেলাশেষের-তান,২০,রাজপুরীতে বাজায় বাঁশি বেলাশেষের তান
পূজা,,RabindranathTagore_Songs_Puja#২১--জাগ-জাগ-রে-জাগ-সঙ্গীত-চিত্ত-অম্বর-কর-তরঙ্গিত,২১,জাগ’ জাগ’ রে জাগ’ সঙ্গীত চিত্ত অম্বর কর তরঙ্গিত
পূজা,,RabindranathTagore_Songs_Puja#২২--হেথা-যে-গান-গাইতে-আসা-আমার-হয়-নি-সে-গান-গাওয়া,২২,হেথা যে গান গাইতে আসা আমার হয় নি সে গান গাওয়া
পূজা,,RabindranathTagore_Songs_Puja#২৩--আমি-হেথায়-থাকি-শুধু-গাইতে-তোমার-গান,২৩,আমি হেথায় থাকি শুধু গাইতে তোমার গান
পূজা,,RabindranathTagore_Songs_Puja#২৪--গানের-সুরের-আসনখানি-পাতি-পথের-ধারে,২৪,গানের সুরের আসনখানি পাতি পথের ধারে
পূজা,,RabindranathTagore_Songs_Puja#২৫--সুর-ভুলে-যেই-ঘুরে-বেড়াই-কেবল-কাজে,২৫,সুর ভুলে যেই ঘুরে বেড়াই কেবল কাজে
পূজা,,RabindranathTagore_Songs_Puja#২৬--গানের-ভিতর-দিয়ে-যখন-দেখি-ভুবনখানি,২৬,গানের ভিতর দিয়ে যখন দেখি ভুবনখানি
পূজা,,RabindranathTagore_Songs_Puja#২৭--খেলার-ছলে-সাজিয়ে-আমার-গানের-বাণী,২৭,খেলার ছলে সাজিয়ে আমার গানের বাণী
পূজা,,RabindranathTagore_Songs_Puja#২৮--যতখন-তুমি-আমায়-বসিয়ে-রাখ-বাহির-বাটে,২৮,যতখন তুমি আমায় বসিয়ে রাখ বাহির-বাটে
পূজা,,RabindranathTagore_Songs_Puja#২৯--আমার-যে-গান-তোমার-পরশ-পাবে,২৯,আমার যে গান তোমার পরশ পাবে
পূজা,,RabindranathTagore_Songs_Puja#৩০--গানের-ঝরনাতলায়-তুমি-সাঁঝের-বেলায়-এলে,৩০,গানের ঝরনাতলায় তুমি সাঁঝের বেলায় এলে
পূজা,,RabindranathTagore_Songs_Puja#৩১--কণ্ঠে-নিলেম-গান-আমার-শেষ-পারানির-কড়ি,৩১,কণ্ঠে নিলেম গান আমার শেষ পারানির কড়ি
পূজা,,RabindranathTagore_Songs_Puja#৩২--আমার-ঢালা-গানের-ধারা-সেই-তো-তুমি-পিয়েছিলে,৩২,আমার ঢালা গানের ধারা সেই তো তুমি পিয়েছিলে
পূজা,,RabindranathTagore_Songs_Puja#৩৩--কবে-আমি-বাহির-হলেম-তোমারি-গান-গেয়ে,৩৩,কবে আমি বাহির হলেম তোমারি গান গেয়ে
পূজা,,RabindranathTagore_Songs_Puja#৩৪--তোমায়-আমায়-মিলন-হবে-বলে-আলোয়-আকাশ-ভরা,৩৪,তোমায় আমায় মিলন হবে ব’লে আলোয় আকাশ ভরা
পূজা,,RabindranathTagore_Songs_Puja#৩৫--প্রভু-তোমার-বীণা-যেমনি-বাজে,৩৫,প্রভু তোমার বীণা যেমনি বাজে
পূজা,,RabindranathTagore_Songs_Puja#৩৬--তুমি-একলা-ঘরে-বসে-বসে-কী-সুর-বাজালে,৩৬,তুমি একলা ঘরে বসে বসে কী সুর বাজালে
পূজা,,RabindranathTagore_Songs_Puja#৩৭--শুধু-তোমার-বাণী-নয়-গো-হে-বন্ধু-হে-প্রিয়,৩৭,শুধু তোমার বাণী নয় গো হে বন্ধু হে প্রিয়
পূজা,,RabindranathTagore_Songs_Puja#৩৮--তোমার-সুর-শুনায়ে-যে-ঘুম-ভাঙাও-সে-ঘুম-আমার-রমণীয়,৩৮,তোমার সুর শুনায়ে যে ঘুম ভাঙাও সে ঘুম আমার রমণীয়
পূজা,,RabindranathTagore_Songs_Puja#৩৯--মোর-হৃদয়ের-গোপন-বিজন-ঘরে,৩৯,মোর হৃদয়ের গোপন বিজন ঘরে
পূজা,,RabindranathTagore_Songs_Puja#৪০--মোর-প্রভাতের-এই-প্রথম-খনের-কুসুমখানি,৪০,মোর প্রভাতের এই প্রথম খনের কুসুমখানি
পূজা,,RabindranathTagore_Songs_Puja#৪১--মালা-হতে-খসে-পড়া-ফুলের-একটি-দল,৪১,মালা হতে খসে-পড়া ফুলের একটি দল
পূজা,,RabindranathTagore_Songs_Puja#৪২--এত-আলো-জ্বালিয়েছ-এই-গগনে,৪২,এত আলো জ্বালিয়েছ এই গগনে
পূজা,,RabindranathTagore_Songs_Puja#৪৩--কার-হাতে-এই-মালা-তোমার-পাঠালে,৪৩,কার হাতে এই মালা তোমার পাঠালে
পূজা,,RabindranathTagore_Songs_Puja#৪৪--বল-তো-এইবারের-মতো,৪৪,বল তো এইবারের মতো
পূজা,,RabindranathTagore_Songs_Puja#৪৫--তোমায়-নতুন-করে-পাব-বলে-হারাই-ক্ষণে-ক্ষণ,৪৫,তোমায় নতুন করে পাব ব’লে হারাই ক্ষণে-ক্ষণ
পূজা,,RabindranathTagore_Songs_Puja#৪৬--ধীরে-বন্ধু-ধীরে-ধীরে,৪৬,ধীরে বন্ধু ধীরে ধীরে
পূজা,,RabindranathTagore_Songs_Puja#৪৭--এবার-আমায়-ডাকলে-দূরে,৪৭,এবার আমায় ডাকলে দূরে
পূজা,,RabindranathTagore_Songs_Puja#৪৮--দুঃখের-বরষায়-চক্ষের-জল-যেই-নামল,৪৮,দুঃখের বরষায় চক্ষের জল যেই নামল
পূজা,,RabindranathTagore_Songs_Puja#৪৯--সে-দিনে-আপদ-আমার-যাবে-কেটে,৪৯,সে দিনে আপদ আমার যাবে কেটে
পূজা,,RabindranathTagore_Songs_Puja#৫০--আমার-হিয়ার-মাঝে-লুকিয়ে-ছিলে-দেখতে-আমি-পাই-নি,৫০,আমার হিয়ার মাঝে লুকিয়ে ছিলে দেখতে আমি পাই নি
পূজা,,RabindranathTagore_Songs_Puja#৫১--কেন-চোখের-জলে-ভিজিয়ে-দিলেম-না-শুকনো-ধুলো-যত,৫১,কেন চোখের জলে ভিজিয়ে দিলেম না শুকনো ধুলো যত
পূজা,,RabindranathTagore_Songs_Puja#৫২--আমায়-বাঁধবে-যদি-কাজের-ডোরে,৫২,আমায় বাঁধবে যদি কাজের ডোরে
পূজা,,RabindranathTagore_Songs_Puja#৫৩--ওদের-সাথে-মেলাও-যারা-চরায়-তোমার-ধেনু,৫৩,ওদের সাথে মেলাও যারা চরায় তোমার ধেনু
পূজা,,RabindranathTagore_Songs_Puja#৫৪--আমারে-তুমি-অশেষ-করেছ-এমনি-লীলা-তব,৫৪,আমারে তুমি অশেষ করেছ এমনি লীলা তব
পূজা,,RabindranathTagore_Songs_Puja#৫৫--প্রভু-বলো-বলো-কবে,৫৫,প্রভু বলো বলো কবে
পূজা,,RabindranathTagore_Songs_Puja#৫৬--আমার-না-বলা-বাণীর-ঘন-যামিনীর-মাঝে,৫৬,আমার না-বলা বাণীর ঘন যামিনীর মাঝে
পূজা,,RabindranathTagore_Songs_Puja#৫৭--আমার-হৃদয়-তোমার-আপন-হাতের-দোলে-দোলাও,৫৭,আমার হৃদয় তোমার আপন হাতের দোলে দোলাও
পূজা,,RabindranathTagore_Songs_Puja#৫৮--ভেঙে-মোর-ঘরের-চাবি-নিয়ে-যাবি-কে-আমারে,৫৮,ভেঙে মোর ঘরের চাবি নিয়ে যাবি কে আমারে
পূজা,,RabindranathTagore_Songs_Puja#৫৯--তোমায়-কিছু-দেব-বলে-চায়-যে-আমার-মন,৫৯,তোমায় কিছু দেব ব’লে চায় যে আমার মন
পূজা,,RabindranathTagore_Songs_Puja#৬০--আমার-অভিমানের-বদলে-আজ-নেব-তোমার-মালা,৬০,আমার অভিমানের বদলে আজ নেব তোমার মালা
পূজা,,RabindranathTagore_Songs_Puja#৬১--তুমি-খুশি-থাক-আমার-পানে-চেয়ে-চেয়ে,৬১,তুমি খুশি থাক আমার পানে চেয়ে চেয়ে
পূজা,,RabindranathTagore_Songs_Puja#৬২--আমার-সকল-রসের-ধারা,৬২,আমার সকল রসের ধারা
পূজা,,RabindranathTagore_Songs_Puja#৬৩--রাত্রি-এসে-যেথায়-মেশে-দিনের-পারাবারে,৬৩,রাত্রি এসে যেথায় মেশে দিনের পারাবারে
পূজা,,RabindranathTagore_Songs_Puja#৬৪--আমার-খেলা-যখন-ছিল-তোমার-সনে,৬৪,আমার খেলা যখন ছিল তোমার সনে
পূজা,,RabindranathTagore_Songs_Puja#৬৫--সীমার-মাঝে-অসীম-তুমি-বাজাও-আপন-সুর,৬৫,সীমার মাঝে অসীম তুমি বাজাও আপন সুর
পূজা,,RabindranathTagore_Songs_Puja#৬৬--আজি-যত-তারা-তব-আকাশে,৬৬,আজি যত তারা তব আকাশে
পূজা,,RabindranathTagore_Songs_Puja#৬৭--আমি-কেমন-করিয়া-জানাব-আমার-জুড়ালো-হৃদয়-জুড়ালো,৬৭,আমি কেমন করিয়া জানাব আমার জুড়ালো হৃদয় জুড়ালো
পূজা,,RabindranathTagore_Songs_Puja#৬৮--প্রভু-আমার-প্রিয়-আমার-পরম-ধন-হে,৬৮,প্রভু আমার প্রিয় আমার পরম ধন হে
পূজা,,RabindranathTagore_Songs_Puja#৬৯--তুমি-বন্ধু-তুমি-নাথ-নিশিদিন-তুমি-আমার,৬৯,তুমি বন্ধু তুমি নাথ নিশিদিন তুমি আমার
পূজা,,RabindranathTagore_Songs_Puja#৭০--ও-অকূলের-কূল-ও-অগতির-গতি,৭০,ও অকূলের কূল ও অগতির গতি
